id,dealer_id,type,debit,credit,description,date,created_at,restock_id,payment_type,payment_proof,return_id
1,1,Purchase,74400,74400,"Initial Stock: Litter Bottle (620 x 120)",2026-01-24,"2026-01-24 15:10:59",1,,,
2,1,Purchase,100080,100080,"Initial Stock: Litter Bottle (834 x 120)",2026-01-24,"2026-01-24 15:14:06",2,,,
3,1,Purchase,159200,159200,"Initial Stock: Paid 500 ml (1990 x 80)",2026-01-24,"2026-01-24 15:15:50",3,,,
4,1,Purchase,1151884.8,1151884.8,"Initial Stock: 56 skin cleaner (34560 x 33.33)",2026-01-24,"2026-01-24 15:20:04",4,,,
5,2,Purchase,79200,79200,"Initial Stock: Comb - Kanga 7.5&quot; (66 x 1200)",2026-01-24,"2026-01-24 15:28:58",5,,,
6,2,Purchase,51800,51800,"Initial Stock: Comb -Kanga 8&quot; (37 x 1400)",2026-01-24,"2026-01-24 15:30:03",6,,,
7,3,Purchase,34740,34740,"Initial Stock: Comb- Kanga TH and tony (193 x 180)",2026-01-24,"2026-01-24 15:34:40",7,,,
8,4,Purchase,302400,302400,"Initial Stock: Apple color hair max 1 kg (216 x 1400)",2026-01-24,"2026-01-24 15:41:39",10,,,
9,4,Purchase,117600,117600,"Initial Stock: Apple golden Hair color 1 kg (84 x 1400)",2026-01-24,"2026-01-24 15:42:59",11,,,
10,4,Purchase,53760,53760,"Initial Stock: Apple Hair color satche (336 x 160)",2026-01-24,"2026-01-24 15:46:20",12,,,
11,4,Purchase,44640,44640,"Initial Stock: Apple tube color hair max (288 x 155)",2026-01-24,"2026-01-24 15:48:33",13,,,
12,1,Purchase,296000,296000,"Initial Stock: Pak safe Disposable Razer (740 x 400)",2026-01-24,"2026-01-24 16:30:59",21,,,
13,5,Purchase,94340,94340,"Initial Stock: Gelme Shaving foam (356 x 265)",2026-01-24,"2026-01-24 16:54:28",24,,,
14,3,Purchase,77400,77400,"Initial Stock: Lahori Facial kit (86 x 900)",2026-01-24,"2026-01-24 17:05:03",26,,,
16,6,Purchase,153600,153600,"Initial Stock: Alisha Facial kit Original (480 x 320)",2026-01-24,"2026-01-24 17:09:27",30,,,
17,7,Purchase,57408,57408,"Initial Stock: CB Special Hair remove brush (552 x 104)",2026-01-24,"2026-01-24 17:20:40",36,,,
18,7,Purchase,88400,88400,"Initial Stock: Armetic Hair remove brush (104 x 850)",2026-01-24,"2026-01-24 17:22:39",37,,,
20,3,Purchase,38410,38410,"Initial Stock: S Hair remove brush (334 x 115)",2026-01-24,"2026-01-24 17:28:02",40,,,
21,3,Purchase,4760,4760,"Initial Stock: Crystal Hair remove brush (14 x 340)",2026-01-24,"2026-01-24 17:29:37",41,,,
22,8,Purchase,62097.84,62097.84,"Initial Stock: Jolly Shaving cream (504 x 123.21)",2026-01-24,"2026-01-24 17:36:24",42,,,
23,2,Purchase,133875,133875,"Initial Stock: Machine dant (255 x 525)",2026-01-24,"2026-01-24 18:01:53",44,,,
24,5,Purchase,174720,174720,"Initial Stock: Gellme Hair Spray (624 x 280)",2026-01-24,"2026-01-24 18:07:25",45,,,
25,1,Purchase,101000,101000,"Initial Stock: Revense Curling lotion (404 x 250)",2026-01-24,"2026-01-24 18:08:51",46,,,
26,1,Purchase,232960,232960,"Initial Stock: Fareed Curling Lotion (896 x 260)",2026-01-24,"2026-01-24 18:09:48",47,,,
27,1,Purchase,158112,158112,"Initial Stock: Crystal snow cream (2196 x 72)",2026-01-24,"2026-01-24 18:13:05",48,,,
28,9,Purchase,21600,21600,"Initial Stock: Face wash 1 ltr (160 x 135)",2026-01-24,"2026-01-24 18:14:55",49,,,
29,1,Purchase,582624,582624,"Initial Stock: Cold Cream (8568 x 68)",2026-01-24,"2026-01-24 18:16:08",50,,,
30,1,Purchase,187500,187500,"Initial Stock: Tissue Biscuit Color (1250 x 150)",2026-01-24,"2026-01-24 18:23:44",54,,,
31,3,Purchase,45750,45750,"Initial Stock: Wax bottle (61 x 750)",2026-01-24,"2026-01-24 18:39:27",66,,,
32,1,Purchase,35200,35200,"Initial Stock: Scrab Ltr (220 x 160)",2026-01-24,"2026-01-24 18:47:51",72,,,
33,3,Purchase,8750,8750,"Initial Stock: Shower head black (250 x 35)",2026-01-24,"2026-01-24 19:17:41",90,,,
37,11,Purchase,60000,60000,"Initial Stock: Scissors Daska (40 x 1500)",2026-01-24,"2026-01-24 19:25:47",98,,,
38,11,Purchase,14000,14000,"Initial Stock: Scissors Special daska (8 x 1750)",2026-01-24,"2026-01-24 19:26:32",99,,,
39,1,Purchase,33600,33600,"Restock: Paid 500 ml (Qty: 420)",2026-01-25,"2026-01-24 19:47:54",100,,,
40,1,Purchase,16800,16800,"Initial Stock: Norse Bottle (210 x 80)",2026-01-24,"2026-01-24 20:03:22",101,,,
41,1,Purchase,48000,48000,"Restock: Litter Bottle (Qty: 400)",2026-01-25,"2026-01-24 20:04:37",102,,,
43,13,Purchase,13950,13950,"Initial Stock: Blade Pro UK (6 x 2325)",2026-01-24,"2026-01-25 14:24:12",105,,,
44,13,Purchase,41650,41650,"Initial Stock: Blade OK (17 x 2450)",2026-01-24,"2026-01-25 14:25:21",106,,,
45,13,Purchase,6075,6075,"Initial Stock: Blade S-20 (3 x 2025)",2026-01-24,"2026-01-25 14:26:22",107,,,
46,13,Purchase,39200,39200,"Initial Stock: Blade Rambo (16 x 2450)",2026-01-24,"2026-01-25 14:27:26",108,,,
47,13,Purchase,14700,14700,"Initial Stock: Blade Super Sharp (6 x 2450)",2026-01-24,"2026-01-25 14:28:33",109,,,
48,13,Purchase,3920,3920,"Initial Stock: Blade Super Sharp Patty (4 x 980)",2026-01-24,"2026-01-25 14:33:26",110,,,
49,13,Purchase,43000,43000,"Initial Stock: Blade Silk (20 x 2150)",2026-01-24,"2026-01-25 14:34:24",111,,,
52,14,Purchase,20240,0,"Restock: Orchit Facial (Qty: 92)",2026-01-26,"2026-01-28 13:05:10",112,,,
53,12,Purchase,342432,0,"Restock: Electric hair color (Qty: 2088)",2026-01-24,"2026-01-30 12:28:35",113,,,
54,12,Purchase,360,0,"Initial Stock: Hair Capsule (20 x 18)",2026-01-24,"2026-01-30 12:30:22",114,,,
55,12,Purchase,1260,0,"Initial Stock: Showel black (12 x 105)",2026-01-24,"2026-01-30 13:33:50",115,,,
56,12,Purchase,1260,0,"Initial Stock: Shower Color Bottle (12 x 105)",2026-01-24,"2026-01-30 13:34:48",116,,,
57,12,Purchase,2100,0,"Initial Stock: Shower JJ bottle (12 x 175)",2026-01-24,"2026-01-30 13:37:11",117,,,
58,12,Purchase,23800,0,"Initial Stock: Lolain Cream (280 x 85)",2026-01-24,"2026-01-30 13:39:28",118,,,
59,12,Purchase,23800,0,"Restock: Pretty cream (Qty: 280)",2026-01-24,"2026-01-30 13:40:30",119,,,
64,15,Purchase,46800,0,"Restock: Glame foam (Qty: 240)",2026-01-21,"2026-01-30 14:06:54",124,,,
65,15,Purchase,36000,0,"Restock: Glam Hair Spray (Qty: 144)",2026-01-21,"2026-01-30 14:11:08",125,,,
66,15,Purchase,26640,0,"Restock: Rivion Hair straight (Qty: 36)",2026-01-21,"2026-01-30 14:11:49",126,,,
67,15,Purchase,2400,0,"Restock: Curling Hadi shoper (Qty: 12)",2026-01-21,"2026-01-30 14:12:59",127,,,
68,12,Payment,0,136080,"items k badly items dye",2026-01-24,"2026-01-30 15:27:17",,Cash,,
69,10,Debt,298740,0,"Old Raqam apni trf baqya",2026-01-22,"2026-01-30 15:31:48",,Cash,,
70,15,Payment,0,25500,"saman k badly saman lya",2026-01-21,"2026-01-30 15:43:27",,Cash,,
71,14,Purchase,92180,0,"Restock: Orchit Facial (Qty: 419)",2026-01-30,"2026-01-30 17:58:30",128,,,
72,16,Advance,0,50000,"Advance Payment brush ki di",2026-01-31,"2026-02-03 14:10:12",,Online,,
