id,name,category,description,buy_price,avg_buy_price,sell_price,stock_quantity,unit,expiry_date,remarks,created_at,factor_level2,factor_level3
2,"Litter Bottle","After shave",,120,120.00,140,668,Peace,,"1 cotton =24 pcs","2026-01-24 15:14:06",1,1
3,"Paid 500 ml","After shave",,80,80.00,100,243,Peace,,Bottle,"2026-01-24 15:15:50",1,1
4,"56 skin cleaner","56 skin cleaner",,33.333,33.33,38,17181,Peace,,"12x12 =144 cotton","2026-01-24 15:20:04",1,1
5,"Comb - Kanga 7.5 inch","Comb -Kanga",,1200,1200,1270,22,Gross,,"per gross 144 pcs","2026-01-24 15:28:58",0,0
6,"Comb -Kanga 8 inch","Comb -Kanga",,1400,1400,1500,1,Gross,,"per gross 144 pcs","2026-01-24 15:30:03",0,0
7,"Comb- Kanga TH and tony","Comb -Kanga",,180,180.00,280,139,Dozn,,"12 pcs per pkt","2026-01-24 15:34:40",1,1
8,"Comb- Kanga cute","Comb -Kanga",,350,350.00,450,1,Dozn,,"12 pcs per pkt","2026-01-24 15:36:01",1,1
9,"Color match","Hair Color mix",,250,250.00,260,9,Peace,,,"2026-01-24 15:38:12",1,1
10,"Apple color hair max 1 kg","Hair Color mix",,1400,1400,1500,215,Peace,,"18x12 = 216 pcs","2026-01-24 15:41:39",1,1
11,"Apple golden Hair color 1 kg","Hair Color mix",,1400,1400,1700,77,Peace,,"12x7=84 pcs","2026-01-24 15:42:59",1,1
12,"Apple Hair max color satche","Hair Color mix",,160,160.00,180,138,Dozn,,"4032 pcs","2026-01-24 15:46:20",1,1
13,"Apple tube color hair max","Hair Color mix",,140,141.76,165,222,Peace,,"72x4 =288 pcs","2026-01-24 15:48:33",1,1
14,"Versino Hair color","Hair Color mix",,155,155.00,165,57,Peace,,"1 cotton=72 old stock","2026-01-24 15:51:15",1,1
15,"Devon Hair color","Hair Color mix",,150,150,160,0,Peace,,,"2026-01-24 15:52:31",1,1
16,"Olivia hair color","Hair Color mix",,185,185,200,29,Peace,,,"2026-01-24 15:53:23",1,1
17,"Electric hair color","Hair Color mix",,168,165.64,175,2119,Peace,,"1 cotton =72 pcs","2026-01-24 15:57:20",1,1
18,"Wajeeh Hair color tube","Hair Color mix",,57,57.85,60,0,Peace,,"1 cotton=240 pcs","2026-01-24 16:03:45",1,1
19,"Shahzad Disposable Razer","Disposable Razer",,390,390.24,420,40,"Pack -Dabba",,"1 cotton= 20 dabby","2026-01-24 16:18:58",1,1
20,"Ultra edge Disposable Razer","Disposable Razer",,350,350,380,0,"Pack -Dabba",,"4x20=80 pkt","2026-01-24 16:23:27",1,1
21,"Pak safe Disposable Razer","Disposable Razer",,360,377.69,425,1056,"Pack -Dabba",,"1 cotton =20 dabbay","2026-01-24 16:30:59",1,1
22,"Glame foam","Shaving Foam mix",,195,193.35,205,467,Peace,,"48 pcs packing","2026-01-24 16:36:09",1,1
23,"Mormy Shaving Foam","Shaving Foam mix",,215,214.60,220,48,Peace,,"48 pcs packing","2026-01-24 16:37:42",1,1
24,"Gellme Shaving foam","Shaving Foam mix",,265,265.00,270,80,Peace,,"Item retrun from Umair firdous","2026-01-24 16:54:28",1,1
25,"Jackson Foam","Shaving Foam mix",,200,200.00,220,267,Peace,,"stock diffrance enter","2026-01-24 16:58:29",1,1
26,"Lahori Facial kit","Facial kit mix",,900,900.00,1200,76,Peace,,"6 pcs each box","2026-01-24 17:05:03",1,1
27,"Alisha Facial kit Local","Facial kit mix",,270,270.00,290,406,Peace,,"ye payment amir karkhana k blade account mn jama ki","2026-01-24 17:06:21",1,1
28,"Vitamin C Facial kit","Facial kit mix",,1200,1200.00,1400,0,Peace,,"Rice kit","2026-01-24 17:07:29",1,1
29,"Fareed Facial Kit","Facial kit mix",,700,700,800,2,Peace,,,"2026-01-24 17:08:12",1,1
30,"Alisha Facial kit Original","Facial kit mix",,325,324.96,330,24,Peace,,"1 cotton=48 pcs","2026-01-24 17:09:27",1,1
31,"Alisha Black Mask local","Facial kit mix",,160,160.00,180,0,Peace,,,"2026-01-24 17:10:24",1,1
32,"Smart Edge Disposable Razer","Disposable Razer",,4500,4500,5000,4,Ctn,,,"2026-01-24 17:13:09",1,1
33,"Small Facial kit 250 gm","Facial kit mix",,250,250,350,0,Katta,,,"2026-01-24 17:14:07",1,1
34,"Shave Shield Shaving foam","Shaving Foam mix",,150,150,170,7,Peace,,,"2026-01-24 17:14:59",1,1
35,"Gellme Small Shaving foam","Shaving Foam mix",,150,150,155,42,Peace,,,"2026-01-24 17:15:45",1,1
36,"CB Special Hair remove brush","Hair Remove Brush mix",,104,104.00,125,146,Peace,,,"2026-01-24 17:20:40",1,1
37,"Armetic Hair remove brush","Hair Remove Brush mix",,870,860.88,920,91.7,Dozn,,,"2026-01-24 17:22:39",1,1
38,"Pari Hair remove brush","Hair Remove Brush mix",,800,784.78,900,41,Dozn,,"2 dz entry pcs mn ki he","2026-01-24 17:23:59",1,1
39,"Cherri Hair remove brush","Hair Remove Brush mix",,85,85.00,100,83,Peace,,,"2026-01-24 17:27:09",0,0
40,"S Hair remove brush","Hair Remove Brush mix",,115,115,140,125,Peace,,,"2026-01-24 17:28:02",1,1
41,"Crystal Hair remove brush","Hair Remove Brush mix",,335,335.43,380,304,Peace,,,"2026-01-24 17:29:37",1,1
42,"Jolly Shaving cream","Shaving Cream mix",,136.9,135.32,139,72,Peace,,"1 cotton=12 daby 14 pcs","2026-01-24 17:36:24",1,1
43,"Glam Hair Spray","Hair Spray mix",,250,250.00,265,163,Peace,,,"2026-01-24 17:39:52",1,1
44,"Machine dant","Miscellaneous Items mix",,525,525,560,183,Peace,,,"2026-01-24 18:01:53",1,1
45,"Gellme Hair Spray","Hair Spray mix",,280,280,290,582,Peace,,13x48=624,"2026-01-24 18:07:25",1,1
46,"Revense Curling lotion","Miscellaneous Items mix",,250,250,270,224,Peace,,,"2026-01-24 18:08:51",1,1
47,"Fareed karatin Curling Lotion","Miscellaneous Items mix",,260,260.00,280,421,Peace,,,"2026-01-24 18:09:48",1,1
48,"Crystal snow cream","Miscellaneous Items mix",,70,70.02,80,2130,Peace,,,"2026-01-24 18:13:05",1,1
49,"Face wash -Shampo  1 ltr","Miscellaneous Items mix",,135,135,160,4,Peace,,8x20=160,"2026-01-24 18:14:55",1,1
50,"Cold Cream","Miscellaneous Items mix",,68,68,75,8227,Peace,,,"2026-01-24 18:16:08",1,1
51,"Shaving Gell kg","Miscellaneous Items mix",,55,55.00,65,157,Peace,,"customer k account mn sy minus kr dye","2026-01-24 18:17:42",1,1
52,"Cotton Roll local","Miscellaneous Items mix",,31.8,29.43,45,1810,Peace,,"1 bore=300 pc","2026-01-24 18:18:24",1,1
53,"Cotton Roll Special","Miscellaneous Items mix",,0,58.81,0,70,Peace,,,"2026-01-24 18:19:49",1,1
54,"Tissue Biscuit Color","Tissue mix",,150,150,160,1225,Peace,,,"2026-01-24 18:23:44",1,1
55,"Color Piyali","Miscellaneous Items mix",,330,330,400,13.5,Dozn,,,"2026-01-24 18:24:57",1,1
56,"Powder Dani","Miscellaneous Items mix",,800,800.00,900,1.6,Dozn,,,"2026-01-24 18:25:34",1,1
57,"Powder Shopper","Miscellaneous Items mix",,18,18.88,22,2,Peace,,,"2026-01-24 18:26:34",1,1
58,"Dettol small","Miscellaneous Items mix",,80,80,100,188,Peace,,,"2026-01-24 18:27:11",1,1
59,"Cotton Ball","Miscellaneous Items mix",,38,38,45,273,Peace,,,"2026-01-24 18:28:06",1,1
60,"Tissue Party pink 700 gm","Tissue mix",,160,159.83,168,614,Peace,,"old stock","2026-01-24 18:30:33",1,1
61,"Tissue Asmani Ferozi","Tissue mix",,150,150.00,180,755,Peace,,"old stock","2026-01-24 18:32:06",1,1
62,"Scissors Special","Scissors mix",,170,168.92,183,177,Peace,,,"2026-01-24 18:35:45",1,1
63,"Scissors Normal","Scissors mix",,125,117.45,150,11,Peace,,,"2026-01-24 18:36:35",1,1
64,Chimiti,"Scissors mix",,450,450.00,500,5,Dozn,,,"2026-01-24 18:37:19",1,1
65,"Scissors Jagwar","Scissors mix",,1600,1600.00,1900,0,Dozn,,,"2026-01-24 18:38:36",1,1
66,"Wax bottle","Miscellaneous Items mix",,750,750.00,800,7,Peace,,,"2026-01-24 18:39:27",1,1
67,"PZ Ustra","Ustra mix",,660,659.43,800,24,"Pack -Dabba",,"1 box=12 pcs","2026-01-24 18:42:44",1,1
68,"Moon Ustra","Ustra mix",,870,870.00,1000,10.9,"Pack -Dabba",,"Item retrun from Imtiaz johar","2026-01-24 18:44:29",1,1
69,"7 O clock Ustra","Ustra mix",,900,900,1100,1,"Pack -Dabba",,,"2026-01-24 18:45:20",1,1
70,"Steel Ustra","Ustra mix",,1000,1000,1200,0,"Pack -Dabba",,,"2026-01-24 18:46:03",1,1
71,"Pak Ustra","Ustra mix",,1000,1000,1200,0,"Pack -Dabba",,,"2026-01-24 18:46:30",1,1
72,"Scrab Ltr","Miscellaneous Items mix",,155,155.02,175,253,Peace,,,"2026-01-24 18:47:51",0,0
73,"Shaving Brush","Miscellaneous Items mix",,1150,1150.00,1450,10,Dozn,,,"2026-01-24 18:50:33",0,0
74,"Black rose hair color","Hair Color mix",,165,165,175,21,Peace,,,"2026-01-24 18:52:24",1,1
75,"Mormi shaving cream","Shaving Cream mix",,110,110,120,22,Peace,,,"2026-01-24 18:53:18",1,1
76,"Orchit Facial","Facial kit mix",,220,220.00,225,105,Peace,,,"2026-01-24 18:54:37",1,1
77,"Pretty cream","Miscellaneous Items mix",,87,86.23,90,2569,Peace,,"ye Raqam AA trader blade account mn jama ki","2026-01-24 18:56:03",1,1
78,"Shaving gell burni","Miscellaneous Items mix",,75,75.77,90,3,Peace,,"1 cotton=30 pc","2026-01-24 18:56:40",1,1
79,"Rivion Hair straight","Miscellaneous Items mix",,740,740.00,780,37,Peace,,,"2026-01-24 18:58:32",1,1
80,"Taiwan local head","Miscellaneous Items mix",,90,90,100,13,Peace,,,"2026-01-24 18:59:43",1,1
81,"Curling Hadi shoper","Miscellaneous Items mix",,125,145.45,250,32,Peace,,,"2026-01-24 19:00:48",1,1
82,"Machine kangi","Miscellaneous Items mix",,13,13,15,880,Peace,,,"2026-01-24 19:02:32",1,1
83,"Wax Satche","Miscellaneous Items mix",,190,189.98,200,226,Peace,,"stock entry","2026-01-24 19:06:32",1,1
84,"Color Brush large","Miscellaneous Items mix",,240,180,300,6,"Pack -Dabba",,,"2026-01-24 19:07:57",1,1
85,"Color Brush Medium","Miscellaneous Items mix",,180,180.00,250,52.4,"Pack -Dabba",,,"2026-01-24 19:08:47",1,1
86,"Nose Strip-Patti","Miscellaneous Items mix",,13,14.11,15,2674,Peace,,,"2026-01-24 19:11:50",1,1
87,"Dettol Ltr","Miscellaneous Items mix",,830,830.00,1000,260,Peace,,"1 cotton=12 pcs (Payment %6 account mn jama kr di)","2026-01-24 19:12:42",1,1
88,"Wajeeh Hair color stache","Hair Color mix",,60,60,70,38,Peace,,,"2026-01-24 19:14:37",1,1
89,"Morning Silk Hair color Satche","Hair Color mix",,12,12,14,384,Peace,,,"2026-01-24 19:16:01",1,1
90,"Shower head black","Miscellaneous Items mix",,35,35.00,40,412,Peace,,"old stock","2026-01-24 19:17:41",1,1
91,"Shower head color","Miscellaneous Items mix",,30,30.00,36,1793,Peace,,"old stock","2026-01-24 19:18:17",1,1
92,"Party Pack Tissue 230 gm","Tissue mix",,58,57.42,68,1367,Peace,,"Stock entry","2026-01-24 19:19:28",1,1
93,"Chadar Print","Miscellaneous Items mix",,225,225.15,260,370,Peace,,"21 cotton 56 k dye","2026-01-24 19:20:19",0,0
94,"Chadar sada","Miscellaneous Items mix",,195,195.00,220,285,Peace,,,"2026-01-24 19:21:39",1,1
95,"White Special Tissue","Tissue mix",,210,208.08,240,675,Peace,,"1 bora=20 pc","2026-01-24 19:22:42",1,1
96,"Baby Pink Tissue","Tissue mix",,150,150.00,180,10,Peace,,,"2026-01-24 19:23:34",1,1
97,"Hair natro Wax","Miscellaneous Items mix",,200,200.00,250,132,Peace,,"Item retrun from Imtiaz johar","2026-01-24 19:24:22",1,1
98,"Scissors Daska","Scissors mix",,1500,1500.00,1750,112,Dozn,,,"2026-01-24 19:25:47",1,1
99,"Scissors Special daska","Scissors mix",,1750,1750,2000,0,Dozn,,,"2026-01-24 19:26:32",1,1
100,"Norse Bottle","After shave",,80,80,100,210,Peace,,35x6=210,"2026-01-24 20:03:22",1,1
102,"Blade Pro UK","Blade Mix",,2375,2370.45,2400,2,Bundle,,"Stock entry","2026-01-25 14:24:12",1,1
103,"Blade OK","Blade Mix",,2375,2375.00,2500,5,Bundle,,"1 cotton+20 bundle (1 bundle=10 dabbi)","2026-01-25 14:25:21",1,1
104,"Blade S-20","Blade Mix",,2050,2048.81,2100,9,Bundle,,"1 cotton+20 bundle (1 bundle=10 dabbi)","2026-01-25 14:26:22",1,1
105,"Blade Rainbo","Blade Mix",,2450,2450,2500,1,Bundle,,"Per Budle 10 Dabbi","2026-01-25 14:27:26",1,1
106,"Blade Super Sharp","Blade Mix",,2450,2450,2500,0,Bundle,,"Per Budle 10 Dabbi","2026-01-25 14:28:33",1,1
107,"Blade Super Sharp Patty","Blade Mix",,980,980,1000,0,Patty,,"1 cotton have 50 patty","2026-01-25 14:33:26",1,1
108,"Blade Silk","Blade Mix",,2125,2125.01,2200,10,Bundle,,"1 cotton+20 bundle (1 bundle=10 dabbi)","2026-01-25 14:34:24",1,1
109,"Hair Capsule","Miscellaneous Items mix",,18,18,20,24,Peace,,,"2026-01-30 12:30:22",1,1
110,"Black bottle shower","Miscellaneous Items mix",,95,95.38,120,168,Peace,,,"2026-01-30 13:33:50",1,1
111,"Shower Color Bottle","Miscellaneous Items mix",,115,105,120,0,Peace,,,"2026-01-30 13:34:48",1,1
112,"Shower JJ bottle","Miscellaneous Items mix",,175,175,185,12,Peace,,,"2026-01-30 13:37:11",1,1
