id,sale_id,product_id,quantity,price_per_unit,total_price,buy_price,avg_buy_price,returned_qty,unit
1,1,101,1,1,1,1,1,,
2,2,101,1,1,1,1,1,,
3,3,101,1,1,1,1,1,,
4,4,101,1,1,1,1,1,,
5,5,101,1,1,1,1,1,,
6,6,101,1,1,1,1,1,,
7,7,101,1,1,1,1,1,,
8,8,101,1,1,1,1,1,,
9,9,101,1,1,1,1,1,,
10,10,101,1,1,1,1,1,,
11,11,101,1,1,1,1,1,,
12,12,101,1,1,1,1,1,,
13,13,101,1,1,1,1,1,,
14,14,101,1,1,1,1,1,,
15,15,101,1,1,1,1,1,,
16,16,101,1,1,1,1,1,,
17,17,101,1,1,1,1,1,,
18,18,101,1,1,1,1,1,,
19,19,101,1,1,1,1,1,,
20,20,101,1,1,1,1,1,,
21,21,101,1,1,1,1,1,,
22,22,101,1,1,1,1,1,,
23,23,101,1,1,1,1,1,,
24,24,101,1,1,1,1,1,,
25,25,101,1,1,1,1,1,,
26,26,101,1,1,1,1,1,,
27,27,101,1,1,1,1,1,,
28,28,101,1,1,1,1,1,,
29,29,101,1,1,1,1,1,,
30,30,101,1,1,1,1,1,,
31,31,101,1,1,1,1,1,,
32,32,101,1,1,1,1,1,,
33,33,101,1,1,1,1,1,,
34,34,101,1,1,1,1,1,,
35,35,101,1,1,1,1,1,,
36,36,101,1,1,1,1,1,,
37,37,101,1,1,1,1,1,,
38,38,101,1,1,1,1,1,,
39,39,101,1,1,1,1,1,,
40,40,101,1,1,1,1,1,,
41,41,101,1,1,1,1,1,,
42,42,101,1,1,1,1,1,,
43,43,101,1,1,1,1,1,,
44,44,101,1,1,1,1,1,,
45,45,101,1,1,1,1,1,,
46,46,101,1,1,1,1,1,,
47,47,101,1,1,1,1,1,,
48,48,101,1,1,1,1,1,,
49,49,101,1,1,1,1,1,,
50,50,101,1,1,1,1,1,,
51,51,101,1,1,1,1,1,,
52,52,101,1,1,1,1,1,,
54,54,101,1,1,1,1,1,,
55,55,101,1,1,1,1,1,,
56,56,101,1,1,1,1,1,,
57,57,101,1,1,1,1,1,,
107,61,17,72,173,12456,165,165,,
108,61,24,48,267,12816,265,265,,
109,61,18,48,60,2880,57,57,,
110,61,30,12,330,3960,320,320,,
145,67,66,8,820,6560,750,750,,
146,67,86,600,15,9000,12,12,,
147,68,77,72,95,6840,85,85,,
148,68,86,36,18.33,659.88,12,12,,
149,68,37,6,930,5580,850,850,,
150,68,36,24,125,3000,104,104,,
151,68,4,288,38.194,10999.872,33.33,33.33,,
152,68,3,40,95,3800,80,80.00,,
208,73,86,720,18.333333333333,13200,12,12,,
217,75,4,3024,36.111111111111,109200,33.33,33.33,,
218,75,48,336,80,26880,72,72,,
243,60,92,80,70,5600,58,58.89,,
244,60,50,12,75,900,68,68,,
245,60,66,3,810,2430,750,750,,
246,60,2,6,150,900,120,120.00,,
247,60,38,1,900,900,760,760,,
248,60,51,30,65,1950,55,55,,
249,60,62,12,183.33,2199.96,170,170,,
250,60,63,12,150,1800,125,125,,
251,60,3,6,95,570,80,80.00,,
252,60,26,5,1200,6000,900,900,,
253,60,28,1,1450,1450,1200,1200,,
254,60,69,1,1350,1350,900,900,,
255,60,30,9,330,2970,320,320,,
256,60,17,24,175,4200,164,164.52,,
257,60,79,3,780,2340,740,740.00,,
258,60,48,12,80,960,72,72,,
259,60,60,25,170,4250,158,158.00,,
260,60,49,3,180,540,135,135,,
261,78,60,75,180,13500,158,158.00,,
317,80,95,5,230,1150,200,202.22,,
318,80,76,5,230,1150,220,217.61,,
319,80,102,1,2400,2400,2400,2371.88,,
320,80,86,50,15,750,12,12,,
347,85,4,288,38.194444444444,11000,33.33,33.33,,
354,87,4,144,38.194444444444,5500,33.33,33.33,,
355,87,77,36,92,3312,85,85.00,,
356,87,113,36,92,3312,85,85,,
369,90,19,20,390,7800,380,380,,
370,91,95,2,220,440,200,202.22,,
371,91,52,1,40,40,30,30,,
372,91,97,1,230,230,200,200,,
373,91,45,1,290,290,280,280,,
374,91,50,3,70,210,68,68,,
404,95,4,288,38.194444444444,11000,33.33,33.33,,
405,95,13,48,160,7680,155,155,,
406,95,68,8,1250,10000,870,870,,
407,95,67,4,850,3400,650,650,,
409,97,4,720,37.5,27000,33.33,33.33,,
410,97,49,25,160,4000,135,135,,
411,97,2,48,140,6720,120,120.00,,
412,97,77,72,95,6840,85,85.00,,
413,97,26,10,1050,10500,900,900,,
414,98,20,40,375,15000,350,350,,
416,100,4,1152,35.416666666667,40800,33.33,33.33,,
417,100,48,192,80,15360,72,72,,
418,101,17,36,173,6228,164,164.52,,
419,101,13,22,160,3520,155,155,,
420,101,94,6,220,1320,195,195,,
421,101,56,0.5,900,450,800,800,,
422,101,5,1,1300,1300,1200,1200,,
423,101,6,1,1500,1500,1400,1400,,
424,101,77,6,95,570,85,85.00,,
425,101,113,6,95,570,85,85,,
426,101,76,6,230,1380,220,219.62,,
427,101,30,24,330,7920,320,320,,
428,101,85,2,250,500,180,180,,
429,101,11,1,1700,1700,1400,1400,,
430,101,18,72,60,4320,57,57,,
436,104,4,288,36.805555555556,10600,33.33,33.33,,
437,104,73,5,1400,7000,1150,1150,,
438,104,60,25,168,4200,158,158.00,,
439,105,4,864,36.111111111111,31200,33.33,33.33,,
440,106,4,144,38.194444444444,5500,33.33,33.33,,
533,113,61,1,180,180,150,150.00,,
534,114,51,75,65,4875,55,55,,
564,120,19,20,400,8000,380,380,,
573,122,4,720,35.416666666667,25500,33.33,33.33,,
574,122,3,200,85,17000,80,80.00,,
575,122,48,420,78,32760,72,72,,
656,128,21,40,400,16000,400,400,,
660,130,4,576,36.111111111111,20800,33.33,33.33,,
661,130,61,75,176.66666666667,13250,150,150.00,,
662,130,39,60,100,6000,85,85,,
675,134,117,864,39.166666666667,33840,35,35.00,,
676,135,4,1440,34.722222222222,50000,33.33,33.33,,
678,137,86,1200,15,18000,12,12,,
679,138,4,432,38.194444444444,16500,33.33,33.33,,
719,143,17,72,175,12600,164,164.52,,
720,143,50,24,75,1800,68,68,,
721,143,76,6,230,1380,220,219.62,,
722,143,47,10,290,2900,260,260,,
731,144,58,2,100,200,80,80,,
732,144,43,1,270,270,250,250.00,,
733,144,83,2,220,440,185,185,,
734,144,2,1,150,150,120,120.00,,
735,144,24,2,275,550,265,265,,
736,144,20,1,400,400,350,350,,
737,144,51,4,70,280,55,55.00,,
738,144,42,6,140,840,123.21,123.21,,
739,144,18,12,62,744,57,57.00,,
740,144,39,2,110,220,85,85,,
741,145,39,2,110,220,85,85,,
742,145,20,1,400,400,350,350,,
743,145,25,2,230,460,200,200,,
744,145,43,1,270,270,250,250.00,,
745,145,83,2,220,440,185,185,,
746,145,51,4,70,280,55,55.00,,
747,145,2,1,150,150,120,120.00,,
748,145,118,2,230,460,210,210,,
749,145,61,10,180,1800,150,150.00,,
750,145,58,2,100,200,80,80,,
751,146,30,3,330,990,320,320,,
