id,customer_id,total_amount,paid_amount,payment_method,sale_date,remarks,due_date,discount
1,1,188692,0,"Fully Debt","2026-01-25 10:32:28",,,0
2,2,9430,0,"Fully Debt","2026-01-25 10:37:12",,,0
3,3,369710,0,"Fully Debt","2026-01-25 10:44:08",,,0
4,4,129090,0,"Fully Debt","2026-01-25 10:46:24",,,0
5,5,59340,0,"Fully Debt","2026-01-25 10:47:35",,,0
6,6,45000,0,"Fully Debt","2026-01-25 10:48:54",,,0
7,7,162000,0,"Fully Debt","2026-01-25 10:51:27",,,0
8,8,450780,0,"Fully Debt","2026-01-25 10:52:39",,,0
9,9,164950,0,"Fully Debt","2026-01-25 10:54:22",,,0
10,10,83360,0,"Fully Debt","2026-01-25 10:55:27",,,0
11,11,12850,0,"Fully Debt","2026-01-25 11:01:12",,,0
12,12,28872,0,"Fully Debt","2026-01-25 11:03:42",,,0
13,13,314080,0,"Fully Debt","2026-01-25 11:05:30",,,0
14,14,16000,0,"Fully Debt","2026-01-25 11:08:14",,,0
15,15,55660,0,"Fully Debt","2026-01-25 11:11:13",,,0
16,16,107250,0,"Fully Debt","2026-01-25 11:14:56",,,0
17,17,103200,0,"Fully Debt","2026-01-25 11:18:14",,,0
18,18,65560,0,"Fully Debt","2026-01-25 11:19:53",,,0
19,19,32660,0,"Fully Debt","2026-01-25 11:21:13",,,0
20,20,634620,0,"Fully Debt","2026-01-25 11:22:56",,,0
21,21,154730,0,"Fully Debt","2026-01-25 11:24:56",,,0
22,22,30725,0,"Fully Debt","2026-01-25 11:26:29",,,0
23,23,44290,0,"Fully Debt","2026-01-25 11:27:36",,,0
24,24,26640,0,"Fully Debt","2026-01-25 11:29:08",,,0
25,25,98420,0,"Fully Debt","2026-01-25 11:30:18",,,0
26,26,52380,0,"Fully Debt","2026-01-25 11:36:36",,,0
27,27,61080,0,"Fully Debt","2026-01-25 11:37:43",,,0
28,28,23220,0,"Fully Debt","2026-01-25 11:38:54",,,0
29,29,16320,0,"Fully Debt","2026-01-25 11:44:24",,,0
30,30,105102,0,"Fully Debt","2026-01-25 11:47:00",,,0
31,31,217430,0,"Fully Debt","2026-01-25 11:48:16",,,0
32,32,131720,0,"Fully Debt","2026-01-25 11:49:17",,,0
33,33,38950,0,"Fully Debt","2026-01-25 11:50:24",,,0
34,34,217810,0,"Fully Debt","2026-01-25 11:53:11",,,0
35,35,143210,0,"Fully Debt","2026-01-25 11:54:33",,,0
36,36,193766,0,"Fully Debt","2026-01-25 11:56:06",,,0
37,37,318121,0,"Fully Debt","2026-01-25 11:57:33",,,0
38,38,52610,0,"Fully Debt","2026-01-25 11:59:00",,,0
39,39,11000,0,"Fully Debt","2026-01-25 12:01:05",,,0
40,40,158630,0,"Fully Debt","2026-01-25 12:02:40",,,0
41,41,48520,0,"Fully Debt","2026-01-25 12:03:56",,,0
42,42,5862,0,"Fully Debt","2026-01-25 12:05:36",,,0
43,43,220928,0,"Fully Debt","2026-01-25 12:07:33",,,0
44,44,81700,0,"Fully Debt","2026-01-25 12:09:28",,,0
45,45,13430,0,"Fully Debt","2026-01-25 12:17:54",,,0
46,46,13430,0,"Fully Debt","2026-01-25 12:19:20",,,0
47,47,50982,0,"Fully Debt","2026-01-25 12:21:02",,,0
48,48,14900,0,"Fully Debt","2026-01-25 12:26:30",,,0
49,49,114512,0,"Fully Debt","2026-01-25 12:27:51",,,0
50,50,44280,0,"Fully Debt","2026-01-25 12:29:32",,,0
51,51,49285,0,"Fully Debt","2026-01-25 12:31:42",,,0
52,52,113350,0,"Fully Debt","2026-01-25 12:33:20",,,0
54,54,323000,0,"Fully Debt","2026-01-25 12:36:56",,,0
55,55,229830,0,"Fully Debt","2026-01-25 12:38:23",,,0
